event_id,event_name,group_id
jrxkxlyxmbgc,NYC Creative and Business Professionals Networking Party,10048442
jrxkxlyxnbdc,NYC Creative and Business Professionals Networking Party,10048442
jsgfxlywqbhc,NYC Creative and Business Professionals Networking Party,1576097
jsgfxlyxcbdc,NYC Creative and Business Professionals Networking Party,1576097
jsgfxlyxdbjc,NYC Creative and Business Professionals Networking Party,1576097
jsgfxlyxfbjc,NYC Creative and Business Professionals Networking Party,1576097
jsgfxlyxgbfc,NYC Creative and Business Professionals Networking Party,1576097
jsgfxlyxhblc,NYC Creative and Business Professionals Networking Party,1576097
jsgfxlyxjbhc,NYC Creative and Business Professionals Networking Party,1576097
jsgfxlyxkbfc,NYC Creative and Business Professionals Networking Party,1576097
jsgfxlyxlbkc,NYC Creative and Business Professionals Networking Party,1576097
jsgfxlyxmbgc,NYC Creative and Business Professionals Networking Party,1576097
jsgfxlyxnbdc,NYC Creative and Business Professionals Networking Party,1576097
jvxlllywpbcc,UIC-COE Toastmasters Club Meeting,18472146
jvxlllywqbzb,UIC-COE Toastmasters Club Meeting,18472146
jvxlllyxcbvb,UIC-COE Toastmasters Club Meeting,18472146
jvxlllyxdbbc,UIC-COE Toastmasters Club Meeting,18472146
jvxlllyxfbbc,UIC-COE Toastmasters Club Meeting,18472146
jvxlllyxgbwb,UIC-COE Toastmasters Club Meeting,18472146
jvxlllyxhbtb,UIC-COE Toastmasters Club Meeting,18472146
jvxlllyxjbzb,UIC-COE Toastmasters Club Meeting,18472146
jvxlllyxkbwb,UIC-COE Toastmasters Club Meeting,18472146
jvxlllyxlbcc,UIC-COE Toastmasters Club Meeting,18472146
jvxlllyxmbxb,UIC-COE Toastmasters Club Meeting,18472146
jvxlllyxnbvb,UIC-COE Toastmasters Club Meeting,18472146
kcxlllywpbcc,ABA SPEAKeasies Toastmasters,18472146
kcxlllywpbkb,ABA SPEAKeasies Toastmasters,18472146
kcxlllywqbhb,ABA SPEAKeasies Toastmasters,18472146
kcxlllywqbzb,ABA SPEAKeasies Toastmasters,18472146
kcxlllyxcbdb,ABA SPEAKeasies Toastmasters,18472146
kcxlllyxcbnc,ABA SPEAKeasies Toastmasters,18472146
kcxlllyxcbvb,ABA SPEAKeasies Toastmasters,18472146
