Gender,Child's First Name,Count
FEMALE,AMANDA,15
FEMALE,AMELIA,62
FEMALE,AMELIE,15
FEMALE,AMINA,17
FEMALE,AMIRA,11
FEMALE,AMY,11
FEMALE,ANASTASIA,19
FEMALE,ANGELICA,10
FEMALE,ANGELINA,50
FEMALE,ANNA,85
FEMALE,ANNABEL,14
FEMALE,ANNABELLE,27
FEMALE,ARIANA,27
FEMALE,ARIANNA,28
FEMALE,ARIEL,14
FEMALE,ARIELA,10
FEMALE,ARIELLA,26
FEMALE,ASHLEY,20
FEMALE,ATARA,10
FEMALE,AUBREY,10
FEMALE,AUDREY,26
FEMALE,AUTUMN,10
FEMALE,AVA,162
FEMALE,AVERY,52
FEMALE,AVIGAIL,11
FEMALE,AVIVA,18
FEMALE,AYLA,10
FEMALE,BAILA,40
FEMALE,BARBARA,12
FEMALE,BATSHEVA,20
FEMALE,BATYA,15
FEMALE,BEATRICE,33
FEMALE,BELLA,22
FEMALE,BIANCA,10
FEMALE,BLAKE,14
FEMALE,BLIMA,20
FEMALE,BLIMY,23
FEMALE,BRACHA,24
FEMALE,BREINDY,15
FEMALE,BRIANNA,32
FEMALE,BRIDGET,14
FEMALE,BROOKE,33
FEMALE,BROOKLYN,15
FEMALE,BRUCHA,19
FEMALE,BRUCHY,13
FEMALE,BRYNN,14
FEMALE,CAITLIN,11
FEMALE,CAMERON,11
FEMALE,CAROLINE,52
FEMALE,CASEY,12
FEMALE,CATHERINE,33
FEMALE,CECILIA,16
FEMALE,CELIA,10
FEMALE,CHANA,132
FEMALE,CHANY,38
FEMALE,CHARLIE,14
FEMALE,CHARLOTTE,127
FEMALE,CHAVA,46
FEMALE,CHAVY,10
FEMALE,CHAYA,178
FEMALE,CHLOE,95
FEMALE,CHRISTINA,14
FEMALE,CLAIRE,35
FEMALE,CLARA,28
FEMALE,COLETTE,14
FEMALE,CORA,10
FEMALE,DAHLIA,15
FEMALE,DAISY,13
FEMALE,DALIA,10
FEMALE,DANIELA,13
FEMALE,DANIELLA,41
FEMALE,DANIELLE,15
FEMALE,DEVORA,17
FEMALE,DEVORAH,44
FEMALE,DIANA,13
FEMALE,DINA,41
FEMALE,DYLAN,20
FEMALE,EDEN,24
FEMALE,ELEANOR,39
FEMALE,ELENA,19
FEMALE,ELIANA,36
FEMALE,ELISE,13
FEMALE,ELISHEVA,14
FEMALE,ELIZA,25
FEMALE,ELIZABETH,100
FEMALE,ELLA,127
FEMALE,ELLE,17
FEMALE,ELLIANA,11
FEMALE,ELLIE,26
FEMALE,ELOISE,24
FEMALE,EMERSON,16
FEMALE,EMILIA,33
FEMALE,EMILY,119
FEMALE,EMMA,213
FEMALE,ERIN,15
FEMALE,ESTER,14
FEMALE,ESTHER,224
FEMALE,ESTY,18
